ArtigoID,status,quote_count,quotes_exact,quotes_ge90,quotes_ge80,quotes_lt80,num_claims,num_claims_matched,fig_pages_hybrid,table_keyword_pages,doi_in_pdf_text,year_in_pdf_text,issues,warnings
ART_001,OK,6,6,6,0,0,6,6,12,22,True,True,,
ART_002,OK,8,8,8,0,0,5,5,9,18,True,True,,
ART_003,OK,8,8,8,0,0,9,9,0,6,True,True,,
ART_004,OK,8,4,8,0,0,9,9,3,9,True,True,,used_image_table_evidence
ART_005,OK,8,4,8,0,0,6,6,4,7,True,True,,
ART_006,OK,8,5,8,0,0,8,8,1,3,True,True,,
ART_007,OK,7,7,7,0,0,0,0,3,4,True,True,,
ART_008,OK,8,2,8,0,0,9,9,7,8,True,True,,
ART_009,OK,7,4,7,0,0,1,1,10,12,True,True,,
ART_010,OK,8,7,8,0,0,10,10,9,19,True,True,,
ART_011,OK,8,5,8,0,0,9,9,6,8,True,True,,
ART_012,OK,8,5,8,0,0,11,11,4,12,True,True,,
ART_013,OK,7,5,7,0,0,5,5,1,2,True,True,,
ART_014,OK,6,6,6,0,0,4,4,10,11,True,True,,
ART_015,OK,8,7,8,0,0,0,0,5,20,True,True,,
ART_016,OK,5,5,5,0,0,0,0,2,3,True,True,,
ART_017,OK,8,8,8,0,0,6,6,7,15,True,True,,
ART_018,OK,8,5,8,0,0,0,0,2,3,True,True,,
ART_019,OK,8,8,8,0,0,6,6,1,2,True,True,,
ART_020,OK,8,8,8,0,0,1,1,7,15,True,True,,
ART_021,OK,7,6,7,0,0,5,5,9,10,True,True,,
ART_022,OK,7,7,7,0,0,8,8,5,5,True,True,,
ART_023,OK,8,8,8,0,0,0,0,11,14,True,True,,
ART_024,OK,8,7,8,0,0,6,5,2,9,True,True,,
ART_025,OK,7,7,7,0,0,12,12,7,8,True,True,,
ART_026,OK,7,7,7,0,0,3,3,3,3,True,True,,
ART_027,OK,8,5,8,0,0,0,0,2,4,True,True,,
ART_028,OK,8,7,8,0,0,5,5,2,3,True,True,,
ART_029,OK,8,5,8,0,0,7,6,4,12,True,True,,
ART_030,OK,8,4,8,0,0,7,7,2,4,True,True,,
ART_031,OK,6,3,6,0,0,7,7,6,8,True,True,,
ART_032,OK,8,5,8,0,0,0,0,1,2,True,True,,
ART_033,OK,8,4,8,0,0,14,14,8,18,True,True,,
ART_034,OK,7,5,7,0,0,5,5,10,20,True,True,,
ART_035,OK,8,4,8,0,0,5,5,1,10,True,True,,
ART_036,OK,8,6,8,0,0,0,0,0,1,True,True,,
ART_037,OK,8,7,8,0,0,2,2,5,8,True,True,,
ART_038,OK,8,7,8,0,0,0,0,4,8,True,True,,
