ArtigoID;status;reasons;quotes_total;quotes_placeholder;quotes_page_nr;quotes_matched;quotes_match_rate;nr_critical_ratio;worst_quotes;has_texts_json;fuzzy_engine;threshold;yaml_path
ART_001;FAIL;quote match_rate 0.00 < 0.50;8;0;0;0;0.00;0.00;q8:10%, q3:14%, q4:32%;1;difflib.windowed_ratio;85.0;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_001.yaml
ART_002;FAIL;quote match_rate 0.00 < 0.50;8;0;0;0;0.00;0.08;q4:11%, q5:17%, q8:51%;1;difflib.windowed_ratio;85.0;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_002.yaml
ART_003;FAIL;quote match_rate 0.00 < 0.50;8;0;0;0;0.00;0.08;q2:27%, q3:42%, q4:52%;1;difflib.windowed_ratio;85.0;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_003.yaml
ART_004;FAIL;quote match_rate 0.00 < 0.50;8;0;0;0;0.00;0.00;q4:15%, q8:17%, q7:21%;1;difflib.windowed_ratio;85.0;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_004.yaml
ART_005;FAIL;quote match_rate 0.00 < 0.50;8;0;0;0;0.00;0.00;q7:57%, q6:61%, q1:63%;1;difflib.windowed_ratio;85.0;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_005.yaml
ART_006;FAIL;quote match_rate 0.00 < 0.50;7;0;0;0;0.00;0.00;q6:8%, q7:9%, q5:26%;1;difflib.windowed_ratio;85.0;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_006.yaml
ART_007;FAIL;quote match_rate 0.00 < 0.50;8;0;0;0;0.00;0.08;q7:10%, q5:28%, q3:54%;1;difflib.windowed_ratio;85.0;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_007.yaml
ART_008;FAIL;quote match_rate 0.00 < 0.50;8;0;0;0;0.00;0.00;q2:9%, q3:13%, q4:43%;1;difflib.windowed_ratio;85.0;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_008.yaml
ART_009;FAIL;quote match_rate 0.00 < 0.50;7;0;0;0;0.00;0.00;q3:9%, q4:12%, q6:23%;1;difflib.windowed_ratio;85.0;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_009.yaml
ART_010;FAIL;quote match_rate 0.00 < 0.50;7;0;0;0;0.00;0.00;q5:10%, q6:15%, q1:60%;1;difflib.windowed_ratio;85.0;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_010.yaml
ART_011;FAIL;quote match_rate 0.00 < 0.50;4;0;0;0;0.00;0.00;q3:8%, q4:9%, q2:27%;1;difflib.windowed_ratio;85.0;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_011.yaml
ART_012;FAIL;quote match_rate 0.00 < 0.50;8;0;0;0;0.00;0.00;q2:62%, q4:63%, q5:65%;1;difflib.windowed_ratio;85.0;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_012.yaml
ART_013;FAIL;quote match_rate 0.00 < 0.50;7;0;7;0;0.00;0.08;q3:62%, q6:62%, q1:64%;1;difflib.windowed_ratio;85.0;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_013.yaml
ART_014;FAIL;quote match_rate 0.00 < 0.50;8;0;0;0;0.00;0.08;q3:8%, q4:12%, q6:14%;1;difflib.windowed_ratio;85.0;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_014.yaml
ART_015;FAIL;quote match_rate 0.00 < 0.50;8;0;8;0;0.00;0.08;q3:19%, q4:22%, q5:24%;1;difflib.windowed_ratio;85.0;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_015.yaml
ART_016;FAIL;1/3 quotes placeholder | quote match_rate 0.00 < 0.50;3;1;1;0;0.00;0.15;q3:0%(placeholder), q1:7%, q2:11%;1;difflib.windowed_ratio;85.0;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_016.yaml
ART_017;FAIL;3/3 quotes placeholder | quote match_rate 0.00 < 0.50;3;3;3;0;0.00;0.08;q1:0%(placeholder), q2:0%(placeholder), q3:0%(placeholder);1;difflib.windowed_ratio;85.0;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_017.yaml
ART_018;FAIL;quote match_rate 0.00 < 0.50;7;0;0;0;0.00;0.15;q5:14%, q6:18%, q4:38%;1;difflib.windowed_ratio;85.0;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_018.yaml
ART_019;FAIL;quote match_rate 0.00 < 0.50;7;0;0;0;0.00;0.00;q6:15%, q7:35%, q1:47%;1;difflib.windowed_ratio;85.0;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_019.yaml
ART_020;FAIL;quote match_rate 0.00 < 0.50;7;0;0;0;0.00;0.00;q7:22%, q3:25%, q2:34%;1;difflib.windowed_ratio;85.0;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_020.yaml
ART_021;FAIL;quote match_rate 0.00 < 0.50;3;0;0;0;0.00;0.00;q3:5%, q2:34%, q1:73%;1;difflib.windowed_ratio;85.0;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_021.yaml
ART_022;FAIL;quote match_rate 0.00 < 0.50;8;0;8;0;0.00;0.00;q1:17%, q4:18%, q6:22%;1;difflib.windowed_ratio;85.0;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_022.yaml
ART_023;FAIL;quote match_rate 0.00 < 0.50;8;0;0;0;0.00;0.08;q4:7%, q6:8%, q7:24%;1;difflib.windowed_ratio;85.0;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_023.yaml
ART_024;FAIL;quote match_rate 0.00 < 0.50;8;0;0;0;0.00;0.00;q2:8%, q1:13%, q7:20%;1;difflib.windowed_ratio;85.0;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_024.yaml
ART_025;FAIL;3/3 quotes placeholder | quote match_rate 0.00 < 0.50;3;3;3;0;0.00;0.00;q1:0%(placeholder), q2:0%(placeholder), q3:0%(placeholder);1;difflib.windowed_ratio;85.0;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_025.yaml
ART_026;FAIL;quote match_rate 0.00 < 0.50;8;0;0;0;0.00;0.00;q6:7%, q7:17%, q5:22%;1;difflib.windowed_ratio;85.0;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_026.yaml
ART_027;FAIL;quote match_rate 0.00 < 0.50;7;0;0;0;0.00;0.15;q5:19%, q6:20%, q7:25%;1;difflib.windowed_ratio;85.0;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_027.yaml
