ArtigoID;status;reasons;quotes_total;quotes_placeholder;quotes_page_nr;page_nr_ratio;quotes_matched;quotes_match_rate;nr_critical_ratio;worst_quotes;has_texts_json;threshold;yaml_path
ART_001;OK;;8;0;0;0.0;8;1.0;0.0;q4:98%, q1:100%, q2:100%;True;80;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_001.yaml
ART_002;OK;;8;0;0;0.0;8;1.0;0.08;q1:100%, q2:100%, q3:100%;True;80;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_002.yaml
ART_003;OK;;8;0;0;0.0;8;1.0;0.08;q2:93%, q1:98%, q4:98%;True;80;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_003.yaml
ART_004;OK;;8;0;0;0.0;8;1.0;0.0;q4:99%, q2:99%, q6:99%;True;80;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_004.yaml
ART_005;OK;;8;0;0;0.0;8;1.0;0.0;q2:98%, q7:98%, q1:99%;True;80;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_005.yaml
ART_006;OK;;8;0;0;0.0;8;1.0;0.0;q4:99%, q1:99%, q6:99%;True;80;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_006.yaml
ART_007;OK;;8;0;0;0.0;8;1.0;0.08;q6:100%, q1:100%, q2:100%;True;80;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_007.yaml
ART_008;OK;;8;0;0;0.0;8;1.0;0.0;q2:99%, q4:99%, q1:99%;True;80;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_008.yaml
ART_009;OK;;8;0;0;0.0;8;1.0;0.0;q7:99%, q8:99%, q2:100%;True;80;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_009.yaml
ART_010;OK;;8;0;0;0.0;8;1.0;0.0;q6:99%, q1:100%, q2:100%;True;80;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_010.yaml
ART_011;OK;;8;0;0;0.0;8;1.0;0.0;q1:99%, q7:99%, q8:99%;True;80;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_011.yaml
ART_012;OK;;8;0;0;0.0;8;1.0;0.0;q3:98%, q5:99%, q1:100%;True;80;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_012.yaml
ART_013;OK;;7;0;0;0.0;7;1.0;0.08;q3:99%, q6:99%, q1:100%;True;80;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_013.yaml
ART_014;OK;;8;0;0;0.0;8;1.0;0.08;q7:99%, q1:100%, q2:100%;True;80;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_014.yaml
