ArtigoID;action;changed;msg
ART_001;fill_pages(file_page);False;nada a fazer (0/8)
ART_001;requote_review;True;requote aplicado
ART_002;fill_pages(file_page);False;nada a fazer (0/8)
ART_002;requote_review;True;requote aplicado
ART_006;fill_pages(file_page);False;nada a fazer (0/7)
ART_006;requote_review;True;requote aplicado
ART_007;fill_pages(file_page);False;nada a fazer (0/8)
ART_007;requote_review;True;requote aplicado
ART_008;fill_pages(file_page);False;nada a fazer (0/8)
ART_008;requote_review;True;requote aplicado
ART_010;fill_pages(file_page);False;nada a fazer (0/7)
ART_010;requote_review;True;requote aplicado
ART_015;fill_pages(file_page);False;nada a fazer (0/8)
ART_015;requote_review;True;requote aplicado
ART_018;fill_pages(file_page);False;nada a fazer (0/7)
ART_018;requote_review;True;requote aplicado
ART_019;fill_pages(file_page);False;nada a fazer (0/7)
ART_019;requote_review;True;requote aplicado
ART_020;fill_pages(file_page);False;nada a fazer (0/7)
ART_020;requote_review;True;requote aplicado
ART_023;fill_pages(file_page);False;nada a fazer (0/8)
ART_023;requote_review;True;requote aplicado
ART_026;fill_pages(file_page);False;nada a fazer (0/8)
ART_026;requote_review;True;requote aplicado
ART_027;fill_pages(file_page);False;nada a fazer (0/7)
ART_027;requote_review;True;requote aplicado
ART_029;fill_pages(file_page);False;nada a fazer (0/7)
ART_029;requote_review;True;requote aplicado
ART_030;fill_pages(file_page);False;nada a fazer (0/7)
ART_030;requote_review;True;requote aplicado
ART_031;fill_pages(file_page);False;nada a fazer (0/8)
ART_031;requote_review;True;requote aplicado
ART_037;fill_pages(file_page);False;nada a fazer (0/7)
ART_037;requote_review;True;requote aplicado
