ArtigoID;changed;msg
ART_001;False;nada a fazer (0/8)
ART_002;True;pages normalizadas (5/8)
ART_003;True;pages normalizadas (8/8)
ART_004;False;nada a fazer (0/8)
ART_005;False;nada a fazer (0/8)
ART_006;False;nada a fazer (0/7)
ART_007;True;pages normalizadas (1/8)
ART_008;False;nada a fazer (0/8)
ART_009;False;nada a fazer (0/8)
ART_010;True;pages normalizadas (5/7)
ART_011;False;nada a fazer (0/8)
ART_012;False;nada a fazer (0/8)
ART_013;True;pages normalizadas (7/7)
ART_014;False;nada a fazer (0/8)
ART_015;True;pages normalizadas (5/8)
ART_016;False;nada a fazer (0/8)
ART_017;False;nada a fazer (0/8)
ART_018;True;pages normalizadas (4/7)
ART_019;False;nada a fazer (0/7)
ART_020;False;nada a fazer (0/7)
ART_021;False;nada a fazer (0/8)
ART_022;False;nada a fazer (0/8)
ART_023;False;nada a fazer (0/8)
ART_024;False;nada a fazer (0/8)
ART_025;False;nada a fazer (0/8)
ART_026;False;nada a fazer (0/8)
ART_027;False;nada a fazer (0/7)
ART_028;False;nada a fazer (0/8)
ART_029;False;nada a fazer (0/7)
ART_030;False;nada a fazer (0/7)
ART_031;False;nada a fazer (0/8)
ART_032;False;nada a fazer (0/8)
ART_033;False;nada a fazer (0/8)
ART_034;False;nada a fazer (0/8)
ART_035;False;nada a fazer (0/8)
ART_036;False;nada a fazer (0/8)
ART_037;False;nada a fazer (0/7)
ART_038;False;nada a fazer (0/8)
